 "s" , "o" ,
 "https://en-word.net/lemma/unable#unable-ewn-00002098-a" , "https://en-word.net/lemma/able#able-ewn-00001740-a" ,
 "https://en-word.net/lemma/inability#inability-ewn-05652767-n" , "https://en-word.net/lemma/ability#ability-ewn-05624029-n" ,
 "https://en-word.net/lemma/inability#inability-ewn-05214398-n" , "https://en-word.net/lemma/ability#ability-ewn-05207437-n" ,
 "https://en-word.net/lemma/able#able-ewn-00001740-a" , "https://en-word.net/lemma/unable#unable-ewn-00002098-a" ,
 "https://en-word.net/lemma/adaxial#adaxial-ewn-00002527-a" , "https://en-word.net/lemma/abaxial#abaxial-ewn-00002312-a" ,
 "https://en-word.net/lemma/abaxial#abaxial-ewn-00002312-a" , "https://en-word.net/lemma/adaxial#adaxial-ewn-00002527-a" ,
 "https://en-word.net/lemma/basiscopic#basiscopic-ewn-00002843-a" , "https://en-word.net/lemma/acroscopic#acroscopic-ewn-00002730-a" ,
 "https://en-word.net/lemma/acroscopic#acroscopic-ewn-00002730-a" , "https://en-word.net/lemma/basiscopic#basiscopic-ewn-00002843-a" ,
 "https://en-word.net/lemma/adducent#adducent-ewn-00003131-a" , "https://en-word.net/lemma/abducent#abducent-ewn-00002956-a" ,
 "https://en-word.net/lemma/abducent#abducent-ewn-00002956-a" , "https://en-word.net/lemma/adducent#adducent-ewn-00003131-a" ,
 "https://en-word.net/lemma/abduct#abduct-ewn-01452020-v" , "https://en-word.net/lemma/adduct#adduct-ewn-01451829-v" ,
 "https://en-word.net/lemma/abundant#abundant-ewn-00013906-a" , "https://en-word.net/lemma/scarce#scarce-ewn-00016794-a" ,
 "https://en-word.net/lemma/dying#dying-ewn-00003938-a" , "https://en-word.net/lemma/nascent#nascent-ewn-00003356-a" ,
 "https://en-word.net/lemma/nascent#nascent-ewn-00003356-a" , "https://en-word.net/lemma/dying#dying-ewn-00003938-a" ,
 "https://en-word.net/lemma/disunify#disunify-ewn-00369315-v" , "https://en-word.net/lemma/unify#unify-ewn-00368338-v" ,
 "https://en-word.net/lemma/isotropic#isotropic-ewn-01363720-a" , "https://en-word.net/lemma/anisotropic#anisotropic-ewn-01364023-a" ,
 "https://en-word.net/lemma/inessential#inessential-ewn-00905804-a" , "https://en-word.net/lemma/essential#essential-ewn-00903909-a" ,
 "https://en-word.net/lemma/cursed#cursed-ewn-00672714-a" , "https://en-word.net/lemma/blessed#blessed-ewn-00673977-a" ,
 "https://en-word.net/lemma/inhale#inhale-ewn-00005041-v" , "https://en-word.net/lemma/exhale#exhale-ewn-00004227-v" ,
 "https://en-word.net/lemma/exhale#exhale-ewn-00004227-v" , "https://en-word.net/lemma/inhale#inhale-ewn-00005041-v" ,
 "https://en-word.net/lemma/unabridged#unabridged-ewn-00004979-a" , "https://en-word.net/lemma/abridged#abridged-ewn-00004412-a" ,
 "https://en-word.net/lemma/abridged#abridged-ewn-00004412-a" , "https://en-word.net/lemma/unabridged#unabridged-ewn-00004979-a" ,
 "https://en-word.net/lemma/inorganic#inorganic-ewn-01684775-a" , "https://en-word.net/lemma/organic#organic-ewn-01684118-a" ,
 "https://en-word.net/lemma/functional#functional-ewn-01096682-a" , "https://en-word.net/lemma/organic#organic-ewn-01096835-a" ,
 "https://en-word.net/lemma/positive#positive-ewn-01823004-a" , "https://en-word.net/lemma/negative#negative-ewn-01823738-a" ,
 "https://en-word.net/lemma/neutral#neutral-ewn-01824496-a" , "https://en-word.net/lemma/negative#negative-ewn-01823738-a" ,
 "https://en-word.net/lemma/unkindly#unkindly-ewn-00004948-r" , "https://en-word.net/lemma/kindly#kindly-ewn-00004775-r" ,
 "https://en-word.net/lemma/unkind#unkind-ewn-01376655-a" , "https://en-word.net/lemma/kind#kind-ewn-01374976-a" ,
 "https://en-word.net/lemma/kindly#kindly-ewn-00004775-r" , "https://en-word.net/lemma/unkindly#unkindly-ewn-00004948-r" ,
 "https://en-word.net/lemma/kind#kind-ewn-01374976-a" , "https://en-word.net/lemma/unkind#unkind-ewn-01376655-a" ,
 "https://en-word.net/lemma/relative#relative-ewn-00006050-a" , "https://en-word.net/lemma/absolute#absolute-ewn-00005204-a" ,
 "https://en-word.net/lemma/absolute#absolute-ewn-00005204-a" , "https://en-word.net/lemma/relative#relative-ewn-00006050-a" ,
 "https://en-word.net/lemma/finiteness#finiteness-ewn-05216927-n" , "https://en-word.net/lemma/infiniteness#infiniteness-ewn-05216592-n" ,
 "https://en-word.net/lemma/unalarming#unalarming-ewn-00198152-a" , "https://en-word.net/lemma/alarming#alarming-ewn-00194616-a" ,
 "https://en-word.net/lemma/nonabsorbent#nonabsorbent-ewn-00007832-a" , "https://en-word.net/lemma/absorbent#absorbent-ewn-00006354-a" ,
 "https://en-word.net/lemma/nonabsorbency#nonabsorbency-ewn-04949915-n" , "https://en-word.net/lemma/absorbency#absorbency-ewn-04948141-n" ,
 "https://en-word.net/lemma/emit#emit-ewn-02773266-v" , "https://en-word.net/lemma/absorb#absorb-ewn-02771422-v" ,
 "https://en-word.net/lemma/absorbent#absorbent-ewn-00006354-a" , "https://en-word.net/lemma/nonabsorbent#nonabsorbent-ewn-00007832-a" ,
 "https://en-word.net/lemma/noncellular#noncellular-ewn-00329026-a" , "https://en-word.net/lemma/cellular#cellular-ewn-00327929-a" ,
 "https://en-word.net/lemma/least#least-ewn-01560454-a" , "https://en-word.net/lemma/most#most-ewn-01560125-a" ,
 "https://en-word.net/lemma/insignificantly#insignificantly-ewn-00006822-r" , "https://en-word.net/lemma/significantly#significantly-ewn-00006640-r" ,
 "https://en-word.net/lemma/significantly#significantly-ewn-00006640-r" , "https://en-word.net/lemma/insignificantly#insignificantly-ewn-00006822-r" ,
 "https://en-word.net/lemma/insignificant#insignificant-ewn-02171958-a" , "https://en-word.net/lemma/significant#significant-ewn-02168847-a" ,
 "https://en-word.net/lemma/significant#significant-ewn-02168847-a" , "https://en-word.net/lemma/insignificant#insignificant-ewn-02171958-a" ,
 "https://en-word.net/lemma/absorbency#absorbency-ewn-04948141-n" , "https://en-word.net/lemma/nonabsorbency#nonabsorbency-ewn-04949915-n" ,
 "https://en-word.net/lemma/immortal#immortal-ewn-01562296-a" , "https://en-word.net/lemma/mortal#mortal-ewn-01562007-a" ,
 "https://en-word.net/lemma/wholly#wholly-ewn-00008423-r" , "https://en-word.net/lemma/partly#partly-ewn-00008102-r" ,
 "https://en-word.net/lemma/partly#partly-ewn-00008102-r" , "https://en-word.net/lemma/wholly#wholly-ewn-00008423-r" ,
 "https://en-word.net/lemma/nonadsorbent#nonadsorbent-ewn-00008614-a" , "https://en-word.net/lemma/adsorbent#adsorbent-ewn-00008225-a" ,
 "https://en-word.net/lemma/adsorbent#adsorbent-ewn-00008225-a" , "https://en-word.net/lemma/nonadsorbent#nonadsorbent-ewn-00008614-a" ,
 "https://en-word.net/lemma/incomplete#incomplete-ewn-00526155-a" , "https://en-word.net/lemma/complete#complete-ewn-00522139-a" ,
 "https://en-word.net/lemma/fractional#fractional-ewn-00518464-a" , "https://en-word.net/lemma/whole#whole-ewn-00516809-a" ,
 "https://en-word.net/lemma/adsorbable#adsorbable-ewn-00008896-a" , "https://en-word.net/lemma/absorbable#absorbable-ewn-00008753-a" ,
 "https://en-word.net/lemma/absorbable#absorbable-ewn-00008753-a" , "https://en-word.net/lemma/adsorbable#adsorbable-ewn-00008896-a" ,
 "https://en-word.net/lemma/gluttonous#gluttonous-ewn-00009997-a" , "https://en-word.net/lemma/abstemious#abstemious-ewn-00009065-a" ,
 "https://en-word.net/lemma/abstemious#abstemious-ewn-00009065-a" , "https://en-word.net/lemma/gluttonous#gluttonous-ewn-00009997-a" ,
 "https://en-word.net/lemma/consume#consume-ewn-01159300-v" , "https://en-word.net/lemma/abstain#abstain-ewn-01198570-v" ,
 "https://en-word.net/lemma/imperfectly#imperfectly-ewn-00010509-r" , "https://en-word.net/lemma/perfectly#perfectly-ewn-00010112-r" ,
 "https://en-word.net/lemma/perfectly#perfectly-ewn-00010112-r" , "https://en-word.net/lemma/imperfectly#imperfectly-ewn-00010509-r" ,
 "https://en-word.net/lemma/imperfect#imperfect-ewn-01756665-a" , "https://en-word.net/lemma/perfect#perfect-ewn-01753804-a" ,
 "https://en-word.net/lemma/perfect#perfect-ewn-01753804-a" , "https://en-word.net/lemma/imperfect#imperfect-ewn-01756665-a" ,
 "https://en-word.net/lemma/ill#ill-ewn-00011978-r" , "https://en-word.net/lemma/well#well-ewn-00011555-r" ,
 "https://en-word.net/lemma/well#well-ewn-00011555-r" , "https://en-word.net/lemma/ill#ill-ewn-00011978-r" ,
 "https://en-word.net/lemma/concrete#concrete-ewn-00013179-a" , "https://en-word.net/lemma/abstract#abstract-ewn-00011776-a" ,
 "https://en-word.net/lemma/concreteness#concreteness-ewn-04767104-n" , "https://en-word.net/lemma/abstractness#abstractness-ewn-04769389-n" ,
 "https://en-word.net/lemma/abstract#abstract-ewn-00011776-a" , "https://en-word.net/lemma/concrete#concrete-ewn-00013179-a" ,
 "https://en-word.net/lemma/misconception#misconception-ewn-05902260-n" , "https://en-word.net/lemma/conception#conception-ewn-05844071-n" ,
 "https://en-word.net/lemma/anisotropic#anisotropic-ewn-01364023-a" , "https://en-word.net/lemma/isotropic#isotropic-ewn-01363720-a" ,
 "https://en-word.net/lemma/badly#badly-ewn-00012748-r" , "https://en-word.net/lemma/well#well-ewn-00012591-r" ,
 "https://en-word.net/lemma/well#well-ewn-00012591-r" , "https://en-word.net/lemma/badly#badly-ewn-00012748-r" ,
 "https://en-word.net/lemma/abstractness#abstractness-ewn-04769389-n" , "https://en-word.net/lemma/concreteness#concreteness-ewn-04767104-n" ,
 "https://en-word.net/lemma/ill#ill-ewn-00013698-r" , "https://en-word.net/lemma/well#well-ewn-00013554-r" ,
 "https://en-word.net/lemma/well#well-ewn-00013554-r" , "https://en-word.net/lemma/ill#ill-ewn-00013698-r" ,
 "https://en-word.net/lemma/good#good-ewn-01126910-a" , "https://en-word.net/lemma/bad#bad-ewn-01129296-a" ,
 "https://en-word.net/lemma/scarce#scarce-ewn-00016794-a" , "https://en-word.net/lemma/abundant#abundant-ewn-00013906-a" ,
 "https://en-word.net/lemma/scarcity#scarcity-ewn-05124253-n" , "https://en-word.net/lemma/abundance#abundance-ewn-05122340-n" ,
 "https://en-word.net/lemma/disadvantageously#disadvantageously-ewn-00014476-r" , "https://en-word.net/lemma/advantageously#advantageously-ewn-00014255-r" ,
 "https://en-word.net/lemma/badly#badly-ewn-00014476-r" , "https://en-word.net/lemma/well#well-ewn-00014255-r" ,
 "https://en-word.net/lemma/advantageously#advantageously-ewn-00014255-r" , "https://en-word.net/lemma/disadvantageously#disadvantageously-ewn-00014476-r" ,
 "https://en-word.net/lemma/disadvantageous#disadvantageous-ewn-00065808-a" , "https://en-word.net/lemma/advantageous#advantageous-ewn-00064738-a" ,
 "https://en-word.net/lemma/well#well-ewn-00014255-r" , "https://en-word.net/lemma/badly#badly-ewn-00014476-r" ,
 "https://en-word.net/lemma/be_active#be_active-ewn-00014542-v" , "https://en-word.net/lemma/rest#rest-ewn-00014398-v" ,
 "https://en-word.net/lemma/rest#rest-ewn-00014398-v" , "https://en-word.net/lemma/be_active#be_active-ewn-00014542-v" ,
 "https://en-word.net/lemma/advantageous#advantageous-ewn-00064738-a" , "https://en-word.net/lemma/disadvantageous#disadvantageous-ewn-00065808-a" ,
 "https://en-word.net/lemma/motionlessness#motionlessness-ewn-14029664-n" , "https://en-word.net/lemma/motion#motion-ewn-14027802-n" ,
